id,latitude,longitude
123813,34.116601177,-119.0788498521
337384,34.292766,-118.930064
338509,34.688036,-119.358856
576046,34.1612950169,-118.6329934592
1170732,34.44643,-119.245739
1845383,34.362931,-118.998494
2587842,34.4699854698,-119.2238988203
2587876,34.4723455624,-119.2345678882
2803308,34.4249490649,-119.3029425481
2803379,34.4253838342,-119.3028650155
2912696,34.425236648,-119.3028899097
3277481,34.0354153178,-118.8356688005
3279524,34.185945,-118.883955
3919693,34.214927925,-118.9053606921
4588649,34.68808,-119.359075
4837382,34.2379183649,-119.2607116699
5012290,34.2829971313,-119.2501296997
5045775,34.2764472961,-119.3085479736
5166361,34.2671737671,-119.2149887085
5967712,34.3387,-119.224944
6368285,34.2287221776,-119.0752956895
6505319,34.1632127697,-119.156024381
6855931,34.267780304,-119.2150650024
7617555,34.34533884,-119.05750543
7624364,34.2681541443,-119.2153701782
7962789,34.2316650514,-119.256310164
8215793,34.4033,-119.3430333333
9364160,34.2851452,-118.8247764
9670152,34.3957465647,-119.3083531589
13211266,34.2128244148,-119.25347507
13365894,34.46596718,-119.18145979
14437038,34.2245783333,-119.0032416667
16320116,34.4079283333,-119.344895
16968830,34.2816429138,-118.8131561279
17068778,34.3492966667,-119.0526971667
17908793,34.3922216667,-118.917205
18105226,34.3495833333,-119.0529471667
18182708,34.3495616667,-119.0529555
18758104,34.34932,-119.0526888333
18807197,34.2381023729,-119.2593475022
19156111,34.3492883333,-119.0527111667
19457303,34.30882,-119.0964666667
19556995,34.2855453491,-118.8271255493
19738920,34.3501633333,-119.0515055
19774588,34.3489416667,-119.0540861667
19899275,34.4059033333,-119.3404466667
20026555,34.4423185475,-119.223985104
20027351,34.4422329264,-119.2239649036
20212766,34.39218,-118.9170616667
20463117,34.3105866667,-119.0965721667
20463147,34.3080466667,-119.0975805
20489708,34.234775,-119.2634283333
20841063,34.284828186,-118.8262557983
20919220,34.2708556541,-119.1966409051
20933696,34.3485216667,-119.0509416667
21380064,34.3486583333,-119.0495445
21465040,34.17022,-118.887725
21814989,34.3484416667,-119.0518278333
22218207,34.2691221088,-119.1963790544
22218245,34.2690940714,-119.1963204649
22251908,34.34832,-119.0509416667
24645497,34.4385662833,-119.3822206521
24944869,34.34948,-119.0524361667
26310644,34.2435383333,-119.191855
26310677,34.2435333333,-119.1918866667
26385105,34.3810966667,-118.8821416667
29707185,34.407245,-119.3424216667
30473885,34.3624533333,-119.0126416667
31624379,34.3903646985,-119.3095544792
32415631,34.1805712692,-118.67234381
33554410,34.45378,-119.1342695
34369510,34.4508555556,-119.2415166667
34600422,34.4412119083,-119.2266894894
35597950,34.6912797378,-119.3544866087
35878247,34.2436889019,-119.1922441856
36477668,34.4064033333,-119.3470833333
36672008,34.3495966667,-119.0528195
36672019,34.3484783333,-119.0518278333
36692621,34.3088866667,-119.0967861667
36703682,34.30918,-119.0966195
36760989,34.4449118665,-119.2009809707
36792696,34.3097916667,-119.0964138333
36978916,34.4388120347,-119.1368223892
37019244,34.1737365723,-118.8440551758
37066673,34.3494133333,-119.0488888333
37066786,34.3485216667,-119.051675
37066851,34.3482383333,-119.05085
37098399,34.2227058798,-118.7995843133
37327899,34.3092783333,-119.09645
37510290,34.3978833333,-118.794555
37976159,34.3493383333,-119.0489361667
37976165,34.3493883333,-119.0489055
39125122,34.348255,-119.0506666667
44372439,34.43747833,-119.13620833
44990772,34.34842167,-119.05121667
44995487,34.34843,-119.05108617
47196835,34.36367,-118.99839667
47938763,34.2855305556,-119.0501972222
49300462,34.2155434419,-118.8231917471
51134569,34.4614524722,-119.2412185556
54024932,34.34952167,-119.05270283
55718750,34.438125,-119.13631383
56183278,34.2703388889,-118.9519527778
56479648,34.2947034901,-118.8438230637
56672230,34.44586167,-118.92727
58918110,34.2429634614,-119.1893804164
58918354,34.235049545,-119.1900177168
60157730,34.398595,-118.79473
64837066,34.1614111667,-119.2254783333
65507870,34.4214444444,-118.7823583333
65507924,34.4215,-118.7825722222
65513874,34.2478557365,-119.1835501797
65643178,34.3929966667,-118.887245
66684437,34.2959055556,-119.3057638889
69823970,34.4352833333,-119.1320416667
71048135,34.2250695493,-119.0066769864
72042181,34.2768002113,-119.3707289227
77949918,34.2652751667,-119.2435455556
78252658,34.679036,-119.3070419722
78431201,34.2096915784,-119.0113132383
80521747,34.4037033333,-119.34288
83019970,34.4455490112,-119.2910461426
83240330,34.4570394366,-118.9044174188
86714066,34.2437762957,-119.192405237
86714467,34.2431618967,-119.1915926362
86765790,34.3541659,-119.0592705
88094327,34.2654052193,-119.0457494482
89333276,34.45668,-119.1314861667
90629189,34.28687,-119.26777
91562224,34.2780565653,-118.8029596168
93819381,34.2393216667,-119.2625416667
94362557,34.2148459537,-118.8767465061
96721403,34.2766416667,-118.70378
97218559,34.1909139,-118.934123
97672813,34.29993415,-119.20684855
97737352,34.2453283333,-119.19175
98055816,34.24247,-119.1901166667
99170508,34.3638333333,-118.9904166667
99420260,34.3553083333,-119.0061555556
99761771,34.2656555639,-118.7372995003
100469207,34.5039141699,-119.3076013889
100570854,34.22259198,-119.05928602
101034201,34.205025,-118.8287366667
101479230,34.2360033333,-119.2648916667
101479276,34.236155,-119.26487
101785366,34.27612,-118.855255
101810737,34.2368383333,-119.2596883333
102562268,34.430497237,-119.0903248246
102562270,34.4305326341,-119.0903033669
102859641,34.285558,-118.8820414
103047333,34.3696777778,-119.3124
103274170,34.2999333333,-119.1992166667
103274234,34.3060833333,-119.1992722222
103722189,34.4405176385,-119.1342326048
104748352,34.3484283333,-119.051575
104770295,34.3489033333,-119.0490805
104770324,34.34883,-119.049225
104930415,34.2660192095,-119.2954652281
105160230,34.239175,-119.2630533333
105160254,34.23963,-119.2654283333
106144585,34.1640563011,-119.045927778
106364773,34.1629333333,-119.0423694444
106404642,34.17924751,-119.03974707
107065803,34.16110939,-119.04490701
108391741,34.1639638889,-119.0458972222
108612756,34.243597,-119.1919189722
108828978,34.4124633333,-119.0821388333
109156482,34.4654678942,-119.1787811596
109332082,34.403169852,-118.9321852502
110644693,34.1593055,-119.0451805
112778834,34.1630532523,-119.0458482876
112977478,34.1599909868,-119.0436899477
113024276,34.3559828913,-119.016194204
114110653,34.3009208788,-118.8355386206
114118294,34.3014881,-118.8362682
116694752,34.156627,-119.1968849722
118315925,34.167303611,-119.0442047119
120340542,34.3694533333,-119.0588916667
127941466,34.1819,-118.7702166667
132275071,34.2805224931,-119.3151015043
132286573,34.2072785141,-118.8361662626
132304439,34.2815045773,-119.3084392324
133527697,34.2797285063,-119.3097756431
135528730,34.437275,-119.2564383333
136055996,34.3005783333,-118.8333666667
136546279,34.072949422,-119.01613577
136690063,34.1820366667,-118.7890466667
136760313,34.1818583333,-118.789275
136830221,34.3006333333,-118.8334416667
139387551,34.3002610872,-118.8327459076
139387556,34.3001255019,-118.8329602027
139387574,34.3004416349,-118.8330808004
139387576,34.3004925968,-118.8330375497
139387580,34.3002133388,-118.8328277393
139387582,34.3001966667,-118.8329466667
139387585,34.3004867938,-118.832875163
139387591,34.300547,-118.8405634
139387598,34.3002705,-118.8331619
139709243,34.688197,-119.358748
139943691,34.1640445,-119.0471416667
140081930,34.2806659973,-119.2845910415
140091666,34.3003623002,-118.8329324407
141435686,34.3008744291,-118.8453056618
142431857,34.2843305896,-119.2858882107
142724137,34.1805403,-118.9070887
143880642,34.3006479895,-118.8333959051
143904029,34.2693938047,-118.7814820558
143910809,34.2288843895,-119.0719345754
144421356,34.1514470223,-118.9415796138
147137537,34.39554846,-118.9713438973
147533688,34.1254064042,-118.9799993225
147578712,34.1647118217,-119.0413296814
147736774,34.3010062848,-118.8348751472
147959202,34.2430387511,-118.9053944126
148646287,34.4001716667,-119.3094466667
150833501,34.2271333333,-118.8093277778
151535042,34.3928324882,-118.8843330368
151573187,34.3693972222,-118.9899
153046210,34.22877506,-119.0751621174
154635035,34.33326448,-119.06276389
154635078,34.33326917,-119.0627689
154981164,34.18315,-118.7708583333
156246568,34.2668966777,-118.9024378268
161683070,34.4017294466,-118.9323987948
161989981,34.2646888889,-119.0109944444
169998021,34.2441630034,-118.8351992967
175091034,34.396595,-118.7957383333
175108957,34.4485166667,-119.2651283333
177721584,34.233674,-119.25641
179635451,34.2979198116,-118.856948243
181909778,34.2286802285,-119.0751415428
182311681,34.2672541,-119.2417180583
183052305,34.1653524178,-119.0357152689
190145735,34.1801099441,-119.0695425488
190145874,34.0912745656,-119.1026409733
191824040,34.2845210131,-118.7737973253
192033006,34.2793161216,-118.7304425761
192477779,34.3006178893,-118.8333432376
192588228,34.300625,-118.83338
192688030,34.3002104669,-118.8335886598
192763476,34.29702,-118.83825
193749811,34.4188216667,-119.2831116667
194868012,34.189309,-119.2188689
196480880,34.2144616667,-118.8328383333
197755982,34.2796555556,-118.659125
198338265,34.2788783333,-118.68338
198338454,34.2746383333,-118.6747883333
198338502,34.2779383333,-118.6814716667
199476404,34.3642833333,-119.3117533333
202114336,34.2392302456,-119.2621100447
202135165,34.2983570136,-118.8366560173
203830862,34.418019445,-119.3406638883
204426526,34.187778,-118.889065
205203663,34.2795697028,-118.6905159507
206192215,34.2388469535,-119.2631857994
206813783,34.2919083333,-119.1982716667
207091059,34.2257060213,-118.6158646277
207668151,34.2918783333,-119.1983333333
208625085,34.2394688997,-119.2645935
208625140,34.2394603997,-119.2645875
208948322,34.39075,-118.9231033333
208949185,34.3915166667,-118.9233083333
214886472,34.3009033333,-118.8348916667
214888085,34.3004716667,-118.8345866667
221039839,34.3398650027,-119.4158560983
221979873,34.3185083333,-118.7188333333
224893178,34.3202058997,-119.3785742
229842564,34.2680124401,-118.6805171898
236109565,34.2752517323,-118.9022277296
238712707,34.2894965709,-119.1668504477
239922915,34.1327571075,-119.1986800613
241719675,34.2739116667,-118.8001633333
242521292,34.213245,-118.8279033333
243174099,34.3023533333,-118.8960033333
245683974,34.2486729602,-119.2166863015
247682376,34.2784194444,-119.1598916667
248352954,34.268213471,-118.6721976663
248501063,34.369125,-119.0588445
249440752,34.303188096,-118.6999422589
249954178,34.1873331044,-119.0814432084
251557575,34.2964216667,-119.1626971667
252089940,34.2768833333,-118.6784283333
252294346,34.2382916667,-119.2605366667
252785037,34.0624574372,-118.9650926946
252788947,34.060879857,-118.9655540345
252845267,34.2795111657,-118.6848858043
253331724,34.302445,-118.8959366667
253981646,34.404225,-118.9159466667
254535763,34.4002317341,-119.3092963774
255051242,34.3654040647,-118.8184454754
256856805,34.6880604306,-119.3589227544
257597434,34.2320345548,-119.0669276095
258335803,34.6885120885,-119.3591154343
259555044,34.31299841,-119.09758438
260104875,34.2991840443,-118.8344119366
260113398,34.3018333333,-118.83567
261192717,34.4441963889,-119.2733713889
261192722,34.4441413889,-119.2734
261575337,34.175724712,-118.9148795295
262210482,34.2741529344,-119.2337353528
262345952,34.1861083616,-119.1890458245
262631679,34.1609448279,-119.0444316682
262722734,34.3510855,-119.3040074
262727510,34.3510855,-119.3040074
262727548,34.3510855,-119.3040074
262773608,34.2740569986,-119.3382828857
263138333,34.2522048437,-118.6618844942
263195753,34.236305,-118.7887116667
263914904,34.2380386178,-119.2624912339
264862980,34.238057252,-119.2633522148
265129174,34.22497,-119.0557966667
265461426,34.2780383333,-119.0810305
271859795,34.4394388,-119.25449775
273603717,34.69667,-119.3214633333
274284805,34.1610111667,-119.0446778333
279624214,34.2957387622,-118.7201867534
280453872,34.2635687199,-118.7680294365
287717858,34.2657215294,-118.8813483107
288923061,34.2757527778,-119.1562861111
291999696,34.125296781,-119.1634422818
301608684,34.2329189393,-118.8252992895
303213840,34.4668468902,-119.2909328364
304148108,34.2627866667,-118.7285783333
306664887,34.3005033333,-118.83458
306664901,34.300495,-118.83458
307318988,34.2327448835,-119.0688924693
312827501,34.112778,-119.111188
314492872,34.298816635,-118.8355551525
316901129,34.2893616667,-119.30255
317417021,34.2629866667,-118.6772783333
317700899,34.0469410047,-119.1128381189
317702479,34.5637658955,-119.0425979045
317703528,34.4377811581,-119.1582184426
317704019,34.5336980766,-119.1542471379
317704176,34.5137492894,-119.0568617956
318224777,34.2767133333,-118.750825
321311796,34.1822966667,-118.76992
321311914,34.1822866667,-118.7699283333
321312038,34.1822883333,-118.7699133333
321313063,34.1821366667,-118.7698583333
321313650,34.1821166667,-118.76992
321315504,34.4358783333,-119.0855721667
322358536,34.1614888333,-119.04135
322513821,34.3023383333,-118.6928416667
322520446,34.1601533168,-119.0436210291
322526694,34.1003254159,-119.1009447215
323752732,34.1894194444,-119.0215722222
324200159,34.1953451,-118.9583762
325467377,34.2783556638,-119.2823331289
328563721,34.2821166667,-119.1983033333
329083232,34.3011198128,-118.8346526217
331376351,34.2990583333,-119.1129388333
334298662,34.266075,-118.648545
334298731,34.2674,-118.6531133333
334437995,34.305575,-118.6929866667
336162292,34.161525,-119.0412611667
337241608,34.4288017222,-119.2588101944
337370576,34.7502544981,-119.1423070388
339119601,34.4185034462,-119.1171893167
339119680,34.5224073173,-119.1543888099
339119786,34.5739388176,-119.0815259749
339120681,34.5092679883,-119.0653122364
339358898,34.1628272787,-119.043406478
339787669,34.2992466667,-119.198395
340113917,34.2539518322,-118.7573642615
340388021,34.2793541414,-119.2075826841
341606511,34.1602555,-119.0433971667
